old_muni,new_muni,old_county,new_county,new_county_2024,named_dialect,numeric_dialect,cardinal_five,cardinal_four
Risør,Risør,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Grimstad,Grimstad,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Arendal,Arendal,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Kristiansand,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Songdalen,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Søgne,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Mandal,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Marnardal,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Lindesnes,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Farsund,Farsund,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Flekkefjord,Flekkefjord,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Gjerstad,Gjerstad,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Vegårshei,Vegårshei,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Tvedestrand,Tvedestrand,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Froland,Froland,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Lillesand,Lillesand,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Birkenes,Birkenes,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Åmli,Åmli,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Iveland,Iveland,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Evje og Hornnes,Evje og Hornnes,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Bygland,Bygland,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Valle,Valle,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Bykle,Bykle,Aust-Agder,Agder,Agder,Sørlandsk,20,south,east
Vennesla,Vennesla,Vest-Agder,Agder,Agder,Sørlandsk,19,south,west
Åseral,Åseral,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Audnedal,Lyngdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Lyngdal,Lyngdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Hægebostad,Hægebostad,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Kvinesdal,Kvinesdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Sirdal,Sirdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19,west,west
Alvdal,Alvdal,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Dovre,Dovre,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Eidskog,Eidskog,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Elverum,Elverum,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Engerdal,Engerdal,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Etnedal,Etnedal,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Folldal,Folldal,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Gausdal,Gausdal,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Gjøvik,Gjøvik,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Gran,Gran,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Grue,Grue,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Hamar,Hamar,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Kongsvinger,Kongsvinger,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Lesja,Lesja,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Lillehammer,Lillehammer,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Lom,Lom,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Løten,Løten,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Nord-Aurdal,Nord-Aurdal,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
