old_muni,new_muni,old_county,new_county,new_county_2024,named_dialect,numeric_dialect
Risør,Risør,Aust-Agder,Agder,Agder,Sørlandsk,20
Grimstad,Grimstad,Aust-Agder,Agder,Agder,Sørlandsk,20
Arendal,Arendal,Aust-Agder,Agder,Agder,Sørlandsk,20
Kristiansand,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19
Songdalen,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19
Søgne,Kristiansand,Vest-Agder,Agder,Agder,Sørlandsk,19
Mandal,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19
Marnardal,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19
Lindesnes,Lindesnes,Vest-Agder,Agder,Agder,Sørlandsk,19
Farsund,Farsund,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Flekkefjord,Flekkefjord,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Gjerstad,Gjerstad,Aust-Agder,Agder,Agder,Sørlandsk,20
Vegårshei,Vegårshei,Aust-Agder,Agder,Agder,Sørlandsk,20
Tvedestrand,Tvedestrand,Aust-Agder,Agder,Agder,Sørlandsk,20
Froland,Froland,Aust-Agder,Agder,Agder,Sørlandsk,20
Lillesand,Lillesand,Aust-Agder,Agder,Agder,Sørlandsk,20
Birkenes,Birkenes,Aust-Agder,Agder,Agder,Sørlandsk,20
Åmli,Åmli,Aust-Agder,Agder,Agder,Sørlandsk,20
Iveland,Iveland,Aust-Agder,Agder,Agder,Sørlandsk,20
Evje og Hornnes,Evje og Hornnes,Aust-Agder,Agder,Agder,Sørlandsk,20
Bygland,Bygland,Aust-Agder,Agder,Agder,Sørlandsk,20
Valle,Valle,Aust-Agder,Agder,Agder,Sørlandsk,20
Bykle,Bykle,Aust-Agder,Agder,Agder,Sørlandsk,20
Vennesla,Vennesla,Vest-Agder,Agder,Agder,Sørlandsk,19
Åseral,Åseral,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Audnedal,Lyngdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Lyngdal,Lyngdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Hægebostad,Hægebostad,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Kvinesdal,Kvinesdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Sirdal,Sirdal,Vest-Agder,Agder,Agder,Sørvestlandsk,19
Alvdal,Alvdal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Dovre,Dovre,Oppland,Innlandet,Innlandet,Midlandsk,21
Eidskog,Eidskog,Hedmark,Innlandet,Innlandet,Østlandsk,21
Elverum,Elverum,Hedmark,Innlandet,Innlandet,Østlandsk,21
Engerdal,Engerdal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Etnedal,Etnedal,Oppland,Innlandet,Innlandet,Midlandsk,21
Folldal,Folldal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Gausdal,Gausdal,Oppland,Innlandet,Innlandet,Midlandsk,21
Gjøvik,Gjøvik,Oppland,Innlandet,Innlandet,Østlandsk,21
Gran,Gran,Oppland,Innlandet,Innlandet,Østlandsk,21
Grue,Grue,Hedmark,Innlandet,Innlandet,Østlandsk,21
Hamar,Hamar,Hedmark,Innlandet,Innlandet,Østlandsk,21
Kongsvinger,Kongsvinger,Hedmark,Innlandet,Innlandet,Østlandsk,21
Lesja,Lesja,Oppland,Innlandet,Innlandet,Midlandsk,21
Lillehammer,Lillehammer,Oppland,Innlandet,Innlandet,Østlandsk,21
Lom,Lom,Oppland,Innlandet,Innlandet,Midlandsk,21
Løten,Løten,Hedmark,Innlandet,Innlandet,Østlandsk,21
Nord-Aurdal,Nord-Aurdal,Oppland,Innlandet,Innlandet,Midlandsk,21
Nord-Fron,Nord-Fron,Oppland,Innlandet,Innlandet,Midlandsk,21
Nord-Odal,Nord-Odal,Hedmark,Innlandet,Innlandet,Østlandsk,21
Nordre Land,Nordre Land,Oppland,Innlandet,Innlandet,Østlandsk,21
Os,Os,Hedmark,Innlandet,Innlandet,Østlandsk,21
Rendalen,Rendalen,Hedmark,Innlandet,Innlandet,Østlandsk,21
